Basin,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,HMS,0.9014283396228637,-18.93883637919369,0.812871077842525,-0.11994422842216292,0.9697566992615702
MF Tule River S20,LSTM,0.815531037674797,-16.647751428188606,0.7373813736760939,-0.105434233658185,0.9292197731511244
MF Tule River S20,HMS_LSTM,0.9327207060676521,-5.126233155098597,0.8780953315553326,-0.03246567361318466,0.9707523067628618
NF Tule River S10,HMS,0.9392746473221453,-1.0100862262446344,0.9647412176340158,-0.006072006582053955,0.9691910635756951
NF Tule River S10,LSTM,0.6377028363212887,-33.85378637319362,0.5543648016099685,-0.20350778809223521,0.8897016788717093
NF Tule River S10,HMS_LSTM,0.8208653470904319,-17.69326002159561,0.6709061943577438,-0.10636081209476897,0.9556426083493063
SF Tule River S10,HMS,0.9012509489812691,-9.254662473053097,0.8595281698703847,-0.05375544830791327,0.9557157808175923
SF Tule River S10,LSTM,0.5921645375623248,-40.59918715884251,0.49443800138769584,-0.23581924386924472,0.9022811637186692
SF Tule River S10,HMS_LSTM,0.6914977411267962,-31.481897949290307,0.5558623893778386,-0.1828617243228085,0.9300135852249188
